Year,Country,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
2023,Afghanistan,415.707417059086,4.15384006500244,72.58098800992877,13.991,1.721
2022,Afghanistan,357.261152798144,3.98425006866455,62.879,14.1,1.859
2021,Afghanistan,356.496214115892,3.0699999332428,61.982,11.994,2.404
2020,Afghanistan,510.787063366811,4.32343006134033,62.575,11.71,2.523
2019,Afghanistan,496.6025042585,4.15384006500244,63.565,11.185,2.56690001487732
2018,Afghanistan,491.337221382603,4.15384006500244,63.081,11.196,3.203
2017,Afghanistan,525.469770891619,5.26141691207886,63.016,11.184,3.632
2016,Afghanistan,522.082215583898,4.15384006500244,63.136,10.133,3.794
2015,Afghanistan,565.569730408751,4.15384006500244,62.659,9.052,3.36
2023,Albania,8575.17113446213,16.4676494598389,72.58098800992877,10.108,5.304
2022,Albania,6846.42614266044,19.834644317627,76.833,10.137,5.277
2021,Albania,6413.28328605026,18.2029342651367,76.463,11.474,5.199
2020,Albania,5370.77862312929,16.4676494598389,76.989,11.69,5.117
2019,Albania,5460.42823730592,17.3219871520996,79.282,11.466,4.88269996643066
2018,Albania,5365.48934672897,16.4676494598389,79.184,12.304,4.719
2017,Albania,4531.03220675893,16.1501998901367,79.047,13.616,4.586
2016,Albania,4124.05538986272,14.3157796859741,78.86,15.418,4.644
2015,Albania,3952.80357364813,14.8080072402954,78.644,17.193,4.655
2023,Algeria,5364.02795022731,11.4359302520752,72.58098800992877,11.701,5.364
2022,Algeria,4961.55257664733,11.4359302520752,77.129,12.346,5.329
2021,Algeria,4160.55926736925,11.4359302520752,76.377,13.63,5.122
2020,Algeria,3743.5419522929,11.4359302520752,74.453,14.057,4.887
2019,Algeria,4468.45341883656,11.4359302520752,76.474,12.259,5.00509977340698
2018,Algeria,4577.21029180491,11.4359302520752,76.066,12.137,5.211
2017,Algeria,4554.66753957828,11.4359302520752,75.743,12.0,5.295
2016,Algeria,4424.98529027556,11.4359302520752,75.732,10.202,5.872
2015,Algeria,4685.05902729002,11.4359302520752,75.622,11.206,6.355
2017,Angola,2437.25971190821,1.99752998352051,61.68,16.61,3.795
2016,Angola,1807.95294072643,1.99752998352051,61.092,16.575,3.795
2015,Angola,3213.90261080059,1.99752998352051,60.655,16.49,3.866
2023,Armenia,8053.01066312345,25.8449993133545,72.58098800992877,13.245,5.455
2022,Armenia,6571.97445545099,28.2912654876709,73.372,13.379,5.342
2021,Armenia,4685.17997128509,28.5798759460449,72.043,15.469,5.399
2020,Armenia,4268.68093304583,24.2099990844727,72.173,18.175,5.283
2019,Armenia,4597.22887399548,27.4885902404785,75.439,18.304,4.67679977416992
2018,Armenia,4196.00562301769,24.2692451477051,75.064,18.966,4.559
2017,Armenia,3869.05373867752,24.3799991607666,74.906,17.704,4.321
2016,Armenia,3524.42476874707,24.1347694396973,74.664,17.617,4.376
2015,Armenia,3512.39350276709,27.3099994659424,74.436,18.261,4.36
2023,Australia,64820.9117890026,35.764835357666,72.58098800992877,3.668,7.057
2022,Australia,64997.0136536475,36.8400001525879,83.2,3.728,7.095
2021,Australia,60607.7788605166,35.9599990844727,83.3,5.116,7.162
2020,Australia,51791.540179984,35.0200004577637,83.2,6.456,7.183
2019,Australia,54972.7017885437,33.0900001525879,82.9,5.159,7.22279977798462
2018,Australia,57196.4220783778,31.75,82.7487804878049,5.3,7.228
2017,Australia,53901.7145392154,31.3899993896484,82.5,5.592,7.272
2016,Australia,49888.0410842736,30.0300006866455,82.4487804878049,5.711,7.284
