Country,Year,GDP_per_capita
aruba,2015,27458.2253310273
africa eastern and southern,2015,1479.56412348117
afghanistan,2015,565.569730408751
africa western and central,2015,1845.76780421108
angola,2015,3213.90261080059
albania,2015,3952.80357364813
andorra,2015,38654.9347203095
united arab emirates,2015,43534.9972681733
argentina,2015,13679.6264980954
armenia,2015,3512.39350276709
american samoa,2015,12727.4102651386
antigua and barbuda,2015,16080.6580495873
australia,2015,56739.0265346593
austria,2015,43915.228020857
azerbaijan,2015,5500.50364628486
burundi,2015,280.966831311923
belgium,2015,40893.804537772
benin,2015,1002.41886882564
burkina faso,2015,630.124750752312
bangladesh,2015,1224.38647668165
bulgaria,2015,7078.86032298969
bahrain,2015,23734.0551143019
"bahamas, the",2015,30289.4022514831
bosnia and herzegovina,2015,4662.25883724069
belarus,2015,5967.06856034227
belize,2015,6154.49593498217
bermuda,2015,104855.366822135
bolivia,2015,2996.01289804214
brazil,2015,8936.19661756825
barbados,2015,18954.2913724506
brunei darussalam,2015,30625.128732694
bhutan,2015,2954.04081973327
botswana,2015,6141.20394726616
central african republic,2015,366.322853938121
canada,2015,43594.1941045394
central europe and the baltics,2015,12568.2965059245
switzerland,2015,83806.4476003837
channel islands,2015,61852.0736534587
chile,2015,13433.9202985339
china,2015,8016.44559489998
cote d'ivoire,2015,1814.71855088017
cameroon,2015,1415.00009710569
"congo, dem. rep.",2015,467.9145805459
"congo, rep.",2015,2439.35189403696
colombia,2015,6248.51490534512
comoros,2015,1329.37048235986
cabo verde,2015,3415.06266730931
costa rica,2015,11714.7105980732
cuba,2015,7727.91997207998
curacao,2015,19361.8130008678
cayman islands,2015,76379.2095108681
cyprus,2015,23487.228515625
czechia,2015,17931.5987670768
germany,2015,41911.0109851054
djibouti,2015,2376.12554719873
dominica,2015,7679.83293618857
denmark,2015,53094.0133607574
dominican republic,2015,6819.93225155181
algeria,2015,4685.05902729002
east asia & pacific,2015,9562.10616350756
ecuador,2015,5976.1596805651
"egypt, arab rep.",2015,3306.98159414141
spain,2015,25969.8383138327
estonia,2015,17722.1557669523
ethiopia,2015,621.845673808133
finland,2015,42560.3456767103
fiji,2015,5097.53108832569
france,2015,36702.4323733379
faroe islands,2015,52635.0375463609
"micronesia, fed. sts.",2015,2911.16211045292
gabon,2015,7047.12654634355
united kingdom,2015,44964.3911437292
georgia,2015,4086.6223465965
ghana,2015,1721.69964380717
guinea,2015,747.356966759448
"gambia, the",2015,619.536364296461
guinea-bissau,2015,645.066837207039
equatorial guinea,2015,9068.91003238645
greece,2015,17980.7298238137
grenada,2015,8694.12438005692
greenland,2015,44536.3549705377
guatemala,2015,3893.50521848131
guam,2015,35165.7014644795
guyana,2015,5640.41560569466
"hong kong sar, china",2015,42432.1619740441
honduras,2015,2271.20265980349
croatia,2015,12285.3032582105
haiti,2015,1411.12684746796
hungary,2015,12717.038597002
indonesia,2015,3288.22269737572
isle of man,2015,84753.5187422732
india,2015,1583.99815907985
ireland,2015,64311.8234684057
"iran, islamic rep.",2015,4952.73355532178
iraq,2015,4440.14189252367
iceland,2015,52951.6815110898
israel,2015,36123.9907881129
italy,2015,30387.1293187854
jamaica,2015,5062.89556466908
jordan,2015,4042.75678097555
japan,2015,34960.6393843385
kazakhstan,2015,10196.1226255982
kenya,2015,1489.11959777284
kyrgyz republic,2015,1105.65202996955
cambodia,2015,1547.32010444393
kiribati,2015,1639.85274301496
st. kitts and nevis,2015,20328.8003530109
"korea, rep.",2015,28737.4391706499
kuwait,2015,29882.2126867068
lao pdr,2015,2121.01339097363
lebanon,2015,7714.1099998804
liberia,2015,692.590082351257
libya,2015,7458.48917756374
st. lucia,2015,10334.9225558425
least developed countries: un classification,2015,964.449793360221
liechtenstein,2015,167187.15730982
sri lanka,2015,4060.13139670248
lesotho,2015,1121.19851342518
lithuania,2015,14300.2553666736
luxembourg,2015,105462.012584423
latvia,2015,13321.9753140616
"macao sar, china",2015,70070.2918001631
st. martin (french part),2015,
morocco,2015,3146.24780273438
monaco,2015,170437.101188261
moldova,2015,2749.55137054338
madagascar,2015,445.320069480568
maldives,2015,9644.90655028145
mexico,2015,10021.2386118827
marshall islands,2015,3764.34426229508
north macedonia,2015,5262.68671928674
mali,2015,704.821646439506
malta,2015,25481.8977555627
myanmar,2015,1166.73305546288
montenegro,2015,6517.19267514764
mongolia,2015,3838.92126989984
northern mariana islands,2015,17665.1007493109
mozambique,2015,610.563774706589
mauritania,2015,1554.94897871782
mauritius,2015,9507.87133656424
malawi,2015,539.605363240686
malaysia,2015,9648.6797937523
north america,2015,55702.089462785
namibia,2015,4774.10650865775
new caledonia,2015,30858.7237060533
niger,2015,485.662574175279
nigeria,2015,2585.73360671797
nicaragua,2015,2074.45446460028
netherlands,2015,45793.8135434697
norway,2015,74809.9658049898
nepal,2015,875.543635474862
nauru,2015,7703.43149943923
new zealand,2015,38639.3501941427
oman,2015,18808.3077921839
pakistan,2015,1380.47020838317
panama,2015,14082.6548502728
peru,2015,6231.71150338894
philippines,2015,2909.85818014474
palau,2015,15690.7586522228
papua new guinea,2015,2484.5963398603
poland,2015,12637.5220324406
puerto rico,2015,29763.4883013861
portugal,2015,19215.7813014347
paraguay,2015,5879.33792308671
west bank and gaza,2015,3272.15432360708
french polynesia,2015,19166.9594761931
qatar,2015,68985.2946961507
romania,2015,8977.01748158196
russian federation,2015,9277.7138671875
rwanda,2015,733.998585018273
south asia,2015,1528.46685971348
saudi arabia,2015,22453.571552265
sudan,2015,1292.37963867188
senegal,2015,1218.00613555438
singapore,2015,55645.6068614606
solomon islands,2015,2045.47889485251
sierra leone,2015,945.148168480629
el salvador,2015,3790.34089108162
san marino,2015,43146.8240435428
somalia,2015,445.583078625015
serbia,2015,5820.3215576888
south sudan,2015,1080.14718624765
sao tome and principe,2015,1298.10946596396
suriname,2015,8813.61705392067
slovak republic,2015,16442.0760860018
slovenia,2015,20697.2748530619
sweden,2015,51197.9529341175
eswatini,2015,3393.53367834668
sint maarten (dutch part),2015,37839.6283815163
seychelles,2015,15333.1051727105
syrian arab republic,2015,847.731631942565
turks and caicos islands,2015,25736.101625461
chad,2015,747.588448455507
togo,2015,751.052405084336
thailand,2015,5688.85335397884
tajikistan,2015,956.916310930656
turkmenistan,2015,5759.497903834
timor-leste,2015,1319.59297370991
tonga,2015,4123.90323993332
tunisia,2015,4014.94773686432
turkiye,2015,11049.9951100942
tuvalu,2015,3357.83417700071
