Country,Year,Life_Expectancy
afghanistan,2015,62.659
afghanistan,2016,63.136
afghanistan,2017,63.016
afghanistan,2018,63.081
afghanistan,2019,63.565
afghanistan,2020,62.575
afghanistan,2021,61.982
afghanistan,2022,62.879
afghanistan,2023,
africa eastern and southern,2015,61.8568558505819
africa eastern and southern,2016,62.4446410966273
africa eastern and southern,2017,62.9248101271544
africa eastern and southern,2018,63.3670367555538
africa eastern and southern,2019,63.7547521666693
africa eastern and southern,2020,63.3097935065176
africa eastern and southern,2021,62.4490927859627
africa eastern and southern,2022,62.888463228983
africa eastern and southern,2023,
africa western and central,2015,56.1352747821566
africa western and central,2016,56.5180855505093
africa western and central,2017,56.8266341483196
africa western and central,2018,57.1297073906826
africa western and central,2019,57.5002948387114
africa western and central,2020,57.1806707191864
africa western and central,2021,56.9464748071321
africa western and central,2022,57.5891064273872
africa western and central,2023,
albania,2015,78.644
albania,2016,78.86
albania,2017,79.047
albania,2018,79.184
albania,2019,79.282
albania,2020,76.989
albania,2021,76.463
albania,2022,76.833
albania,2023,
algeria,2015,75.622
algeria,2016,75.732
algeria,2017,75.743
algeria,2018,76.066
algeria,2019,76.474
algeria,2020,74.453
algeria,2021,76.377
algeria,2022,77.129
algeria,2023,
angola,2015,60.655
angola,2016,61.092
angola,2017,61.68
angola,2018,62.144
angola,2019,62.448
angola,2020,62.261
angola,2021,61.643
angola,2022,61.929
angola,2023,
antigua and barbuda,2015,77.913
antigua and barbuda,2016,78.152
antigua and barbuda,2017,78.268
antigua and barbuda,2018,78.511
antigua and barbuda,2019,78.691
antigua and barbuda,2020,78.841
antigua and barbuda,2021,78.497
antigua and barbuda,2022,79.236
antigua and barbuda,2023,
argentina,2015,76.76
argentina,2016,76.308
argentina,2017,76.833
argentina,2018,76.999
argentina,2019,77.284
argentina,2020,75.892
argentina,2021,75.39
argentina,2022,76.064
argentina,2023,
armenia,2015,74.436
armenia,2016,74.664
armenia,2017,74.906
armenia,2018,75.064
armenia,2019,75.439
armenia,2020,72.173
armenia,2021,72.043
armenia,2022,73.372
armenia,2023,
aruba,2015,75.683
aruba,2016,75.617
aruba,2017,75.903
aruba,2018,76.072
aruba,2019,76.248
aruba,2020,75.723
aruba,2021,74.626
aruba,2022,74.992
aruba,2023,
australia,2015,82.4
australia,2016,82.4487804878049
australia,2017,82.5
australia,2018,82.7487804878049
australia,2019,82.9
australia,2020,83.2
australia,2021,83.3
australia,2022,83.2
australia,2023,
austria,2015,81.190243902439
austria,2016,81.6414634146342
austria,2017,81.6439024390244
austria,2018,81.6926829268293
austria,2019,81.8951219512195
austria,2020,81.1926829268293
austria,2021,81.190243902439
austria,2022,81.0926829268293
austria,2023,81.6
azerbaijan,2015,71.451
azerbaijan,2016,72.004
azerbaijan,2017,72.248
azerbaijan,2018,72.76
azerbaijan,2019,73.102
azerbaijan,2020,66.868
azerbaijan,2021,69.366
azerbaijan,2022,73.488
azerbaijan,2023,
"bahamas, the",2015,73.104
"bahamas, the",2016,73.537
"bahamas, the",2017,73.632
"bahamas, the",2018,73.806
"bahamas, the",2019,71.205
"bahamas, the",2020,72.677
"bahamas, the",2021,71.598
"bahamas, the",2022,74.358
"bahamas, the",2023,
bahrain,2015,79.405
bahrain,2016,79.557
bahrain,2017,79.689
bahrain,2018,79.857
bahrain,2019,80.019
bahrain,2020,79.174
bahrain,2021,78.76
bahrain,2022,79.246
bahrain,2023,
bangladesh,2015,70.491
bangladesh,2016,71.09
bangladesh,2017,71.788
bangladesh,2018,72.567
bangladesh,2019,72.806
bangladesh,2020,71.968
bangladesh,2021,72.381
bangladesh,2022,73.698
bangladesh,2023,
barbados,2015,76.65
barbados,2016,76.815
barbados,2017,76.936
barbados,2018,77.067
barbados,2019,77.257
barbados,2020,77.393
barbados,2021,77.571
barbados,2022,77.706
barbados,2023,
belarus,2015,73.6243902439025
belarus,2016,73.8268292682927
belarus,2017,74.1292682926829
belarus,2018,74.1756097560976
belarus,2019,74.2268292682927
belarus,2020,72.4572195121951
belarus,2021,72.3706829268293
belarus,2022,73.1114634146342
belarus,2023,
belgium,2015,80.9926829268293
belgium,2016,81.4390243902439
belgium,2017,81.4926829268293
belgium,2018,81.5951219512195
belgium,2019,81.9951219512195
belgium,2020,80.6951219512195
belgium,2021,81.790243902439
belgium,2022,81.6975609756098
belgium,2023,82.5
belize,2015,73.187
belize,2016,73.399
belize,2017,73.562
belize,2018,73.703
belize,2019,73.931
belize,2020,72.854
belize,2021,70.47
belize,2022,70.962
belize,2023,
benin,2015,59.377
benin,2016,59.539
benin,2017,59.856
benin,2018,60.14
benin,2019,60.454
benin,2020,60.088
benin,2021,59.821
benin,2022,59.954
benin,2023,
bermuda,2015,80.918
bermuda,2016,80.608
bermuda,2017,82.351
bermuda,2018,80.825
bermuda,2019,81.033
bermuda,2020,81.136
bermuda,2021,79.28
bermuda,2022,81.571
bermuda,2023,
bhutan,2015,70.343
bhutan,2016,70.602
bhutan,2017,70.847
bhutan,2018,71.129
bhutan,2019,71.391
bhutan,2020,71.609
bhutan,2021,71.815
bhutan,2022,72.229
bhutan,2023,
bolivia,2015,67.318
bolivia,2016,67.628
bolivia,2017,67.701
bolivia,2018,67.748
bolivia,2019,67.841
bolivia,2020,64.467
bolivia,2021,63.63
