Country,Year,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
afghanistan,2015,565.569730408751,,62.659,9.052,3.36
afghanistan,2016,522.082215583898,,63.136,10.133,3.794
afghanistan,2017,525.469770891619,5.26141691207886,63.016,11.184,3.632
afghanistan,2018,491.337221382603,,63.081,11.196,3.203
afghanistan,2019,496.6025042585,,63.565,11.185,2.56690001487732
afghanistan,2020,510.787063366811,4.32343006134033,62.575,11.71,2.523
afghanistan,2021,356.496214115892,3.0699999332428,61.982,11.994,2.404
afghanistan,2022,357.261152798144,3.98425006866455,62.879,14.1,1.859
afghanistan,2023,415.707417059086,,,13.991,1.721
albania,2015,3952.80357364813,14.8080072402954,78.644,17.193,4.655
albania,2016,4124.05538986272,14.3157796859741,78.86,15.418,4.644
albania,2017,4531.03220675893,16.1501998901367,79.047,13.616,4.586
albania,2018,5365.48934672897,16.4676494598389,79.184,12.304,4.719
albania,2019,5460.42823730592,17.3219871520996,79.282,11.466,4.88269996643066
albania,2020,5370.77862312929,,76.989,11.69,5.117
albania,2021,6413.28328605026,18.2029342651367,76.463,11.474,5.199
albania,2022,6846.42614266044,19.834644317627,76.833,10.137,5.277
albania,2023,8575.17113446213,,,10.108,5.304
algeria,2015,4685.05902729002,,75.622,11.206,6.355
algeria,2016,4424.98529027556,,75.732,10.202,5.872
algeria,2017,4554.66753957828,,75.743,12.0,5.295
algeria,2018,4577.21029180491,,76.066,12.137,5.211
algeria,2019,4468.45341883656,11.4359302520752,76.474,12.259,5.00509977340698
algeria,2020,3743.5419522929,,74.453,14.057,4.887
algeria,2021,4160.55926736925,,76.377,13.63,5.122
algeria,2022,4961.55257664733,,77.129,12.346,5.329
algeria,2023,5364.02795022731,,,11.701,5.364
angola,2015,3213.90261080059,1.99752998352051,60.655,16.49,3.866
angola,2016,1807.95294072643,,61.092,16.575,3.795
angola,2017,2437.25971190821,,61.68,16.61,3.795
armenia,2015,3512.39350276709,27.3099994659424,74.436,18.261,4.36
armenia,2016,3524.42476874707,24.1347694396973,74.664,17.617,4.376
armenia,2017,3869.05373867752,24.3799991607666,74.906,17.704,4.321
armenia,2018,4196.00562301769,24.2692451477051,75.064,18.966,4.559
armenia,2019,4597.22887399548,27.4885902404785,75.439,18.304,4.67679977416992
armenia,2020,4268.68093304583,24.2099990844727,72.173,18.175,5.283
armenia,2021,4685.17997128509,28.5798759460449,72.043,15.469,5.399
armenia,2022,6571.97445545099,28.2912654876709,73.372,13.379,5.342
armenia,2023,8053.01066312345,,,13.245,5.455
australia,2015,56739.0265346593,29.7800006866455,82.4,6.055,7.313
australia,2016,49888.0410842736,30.0300006866455,82.4487804878049,5.711,7.284
australia,2017,53901.7145392154,31.3899993896484,82.5,5.592,7.272
australia,2018,57196.4220783778,31.75,82.7487804878049,5.3,7.228
australia,2019,54972.7017885437,33.0900001525879,82.9,5.159,7.22279977798462
australia,2020,51791.540179984,35.0200004577637,83.2,6.456,7.183
australia,2021,60607.7788605166,35.9599990844727,83.3,5.116,7.162
australia,2022,64997.0136536475,36.8400001525879,83.2,3.728,7.095
australia,2023,64820.9117890026,35.764835357666,,3.668,7.057
austria,2015,43915.228020857,13.0799999237061,81.190243902439,5.802,7.119
austria,2016,45061.4993920192,13.460000038147,81.6414634146342,6.064,7.006
austria,2017,47163.7425775142,14.25,81.6439024390244,5.561,7.139
austria,2018,51194.0749841299,14.7956075668335,81.6926829268293,4.933,7.246
austria,2019,49885.9947355204,15.3599996566772,81.8951219512195,4.56,7.29419994354248
austria,2020,48716.4098900349,15.9696025848389,81.1926829268293,5.201,7.268
austria,2021,53648.7190742245,16.605094909668,81.190243902439,6.459,7.163
austria,2022,52176.6649141178,,81.0926829268293,4.992,7.097
austria,2023,56033.573792065,,81.6,5.264,6.905
azerbaijan,2015,5500.50364628486,15.6899995803833,71.451,4.96,5.291
azerbaijan,2016,3880.6852276838,15.7399997711182,72.004,5.0,5.234
azerbaijan,2017,4147.1981423222,15.7200002670288,72.248,5.0,5.201
azerbaijan,2018,4739.7943123408,15.7299995422363,72.76,4.9,5.208
azerbaijan,2019,4805.75371765917,15.7200002670288,73.102,5.0,5.16480016708374
azerbaijan,2020,4229.91064904503,,66.868,7.24,5.171
azerbaijan,2021,5408.04535175023,16.2499160766602,69.366,6.04,5.173
