Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,7.03635682492423,7.19466599460041,7.34633063442169,7.3605131044333,7.58441879909928,8.19139491127414,8.57738499231761,7.98520225155097,7.80636542181196
Afghanistan,AFG,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991
Africa Western and Central,AFW,4.16446707837468,4.15757437388452,4.27419620395302,4.32363095413829,4.39527121076194,4.8523927005513,4.73673176237333,3.65857318082157,3.27724546605141
Angola,AGO,16.49,16.575,16.61,16.594,16.497,16.69,15.799,14.602,14.537
Albania,ALB,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108
Arab World,ARB,11.1489135724281,10.8562902038262,11.1131075474704,10.6597396349929,10.2160980238311,11.3256125416623,10.8896587837575,9.9535706462442,9.59035028813167
United Arab Emirates,ARE,1.793,1.64,2.462,2.236,2.331,4.294,3.105,2.872,2.151
Argentina,ARG,7.579,8.085,8.347,9.22,9.843,11.461,8.736,6.805,6.139
Armenia,ARM,18.261,17.617,17.704,18.966,18.304,18.175,15.469,13.379,13.245
Australia,AUS,6.055,5.711,5.592,5.3,5.159,6.456,5.116,3.728,3.668
Austria,AUT,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264
Azerbaijan,AZE,4.96,5.0,5.0,4.9,5.0,7.24,6.04,5.65,5.636
Burundi,BDI,1.442,1.347,1.247,1.146,1.043,1.03,1.118,0.915,0.921
Belgium,BEL,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.528
Benin,BEN,1.82,1.784,1.659,1.41,1.214,1.502,1.779,1.685,1.657
Burkina Faso,BFA,4.461,4.587,4.656,4.695,4.71,5.04,5.2,5.389,5.348
Bangladesh,BGD,4.396,4.35,4.372,4.407,4.441,5.436,5.327,4.593,4.454
Bulgaria,BGR,9.143,7.575,6.164,5.211,4.23,5.125,5.267,4.268,4.319
Bahrain,BHR,1.16,1.192,1.194,1.2,1.223,1.781,1.541,1.326,1.154
"Bahamas, The",BHS,12.0,12.7,9.8,10.0,9.336,12.027,11.032,9.272,8.643
Bosnia and Herzegovina,BIH,27.695,25.408,20.527,18.4,15.692,15.868,14.897,12.657,10.668
Belarus,BLR,5.881,5.844,5.648,4.763,4.165,4.049,3.9,3.574,3.461
Belize,BLZ,7.578,7.0,6.596,7.896,9.053,10.784,10.322,8.763,8.267
Bolivia,BOL,3.111,3.498,3.655,3.519,3.682,7.903,5.089,3.552,3.024
Brazil,BRA,8.538,11.58,12.792,12.329,11.936,13.697,13.158,9.231,7.947
Barbados,BRB,9.803,8.247,8.622,8.322,8.412,9.777,9.433,8.365,7.878
Brunei Darussalam,BRN,7.726,8.574,9.316,8.7,6.6,7.409,4.905,5.191,5.183
Bhutan,BTN,2.45,2.705,3.016,3.35,2.72,5.03,4.803,5.947,3.126
Botswana,BWA,18.93,19.329,19.664,19.681,20.094,21.017,23.106,23.615,23.381
Central African Republic,CAF,5.477,5.491,5.534,5.517,5.607,6.196,6.375,5.956,5.877
Canada,CAN,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.279,5.415
Central Europe and the Baltics,CEB,7.81595111887481,6.48162116354963,5.2841808780617,4.30568206567801,3.77105548227303,4.35897846633943,4.46317615361708,3.98425299925656,4.01405105340076
Switzerland,CHE,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043
Channel Islands,CHI,8.178,7.715,7.12,6.571,6.408,6.863,6.875,6.147,6.187
