Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,75.683,75.617,75.903,76.072,76.248,75.723,74.626,74.992,
Africa Eastern and Southern,AFE,61.8568558505819,62.4446410966273,62.9248101271544,63.3670367555538,63.7547521666693,63.3097935065176,62.4490927859627,62.888463228983,
Afghanistan,AFG,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879,
Africa Western and Central,AFW,56.1352747821566,56.5180855505093,56.8266341483196,57.1297073906826,57.5002948387114,57.1806707191864,56.9464748071321,57.5891064273872,
Angola,AGO,60.655,61.092,61.68,62.144,62.448,62.261,61.643,61.929,
Albania,ALB,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833,
Arab World,ARB,70.6438916772436,70.8430191114354,71.3208697263729,71.4885385070567,71.6884184364112,70.7942234312115,70.6523470396568,71.0781699371824,
United Arab Emirates,ARE,79.223,79.335,79.504,79.627,79.726,78.946,78.71,79.196,
Argentina,ARG,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,
Armenia,ARM,74.436,74.664,74.906,75.064,75.439,72.173,72.043,73.372,
Antigua and Barbuda,ATG,77.913,78.152,78.268,78.511,78.691,78.841,78.497,79.236,
Australia,AUS,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,
Austria,AUT,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.0926829268293,
Azerbaijan,AZE,71.451,72.004,72.248,72.76,73.102,66.868,69.366,73.488,
Burundi,BDI,60.217,60.793,61.553,61.688,62.351,61.566,61.663,61.977,
Belgium,BEL,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.790243902439,81.6975609756098,
Benin,BEN,59.377,59.539,59.856,60.14,60.454,60.088,59.821,59.954,
Burkina Faso,BFA,58.845,59.326,59.536,60.047,60.039,59.731,59.27,59.766,
Bangladesh,BGD,70.491,71.09,71.788,72.567,72.806,71.968,72.381,73.698,
Bulgaria,BGR,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464,75.1121951219512,73.6585365853659,71.4634146341463,74.3609756097561,
Bahrain,BHR,79.405,79.557,79.689,79.857,80.019,79.174,78.76,79.246,
"Bahamas, The",BHS,73.104,73.537,73.632,73.806,71.205,72.677,71.598,74.358,
Bosnia and Herzegovina,BIH,76.182,76.808,76.935,77.093,77.241,76.225,75.3,75.293,
Belarus,BLR,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.4572195121951,72.3706829268293,73.1114634146342,
Belize,BLZ,73.187,73.399,73.562,73.703,73.931,72.854,70.47,70.962,
Bermuda,BMU,80.918,80.608,82.351,80.825,81.033,81.136,79.28,81.571,
Bolivia,BOL,67.318,67.628,67.701,67.748,67.841,64.467,63.63,64.928,
Brazil,BRA,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425,
Barbados,BRB,76.65,76.815,76.936,77.067,77.257,77.393,77.571,77.706,
Brunei Darussalam,BRN,74.75,74.733,74.722,74.712,74.748,74.795,74.642,74.551,
Bhutan,BTN,70.343,70.602,70.847,71.129,71.391,71.609,71.815,72.229,
Botswana,BWA,63.818,65.464,66.753,65.422,65.464,65.647,61.141,65.913,
Central African Republic,CAF,52.793,53.46,53.721,54.369,55.025,54.604,53.895,54.477,
Canada,CAN,81.8156097560976,81.9248780487805,81.8329268292683,81.8439024390244,82.2239024390244,81.6604878048781,81.5870731707317,81.2956097560976,
Central Europe and the Baltics,CEB,76.5715240168426,76.9691216017019,76.927648854983,76.9757647744597,77.2655334303509,76.0802066283339,74.7920383016387,76.7857380588102,
Switzerland,CHE,82.8975609756098,83.6024390243903,83.5512195121951,83.7536585365854,83.9048780487805,83.0,83.7512195121951,83.4536585365854,
Channel Islands,CHI,81.433,81.366,81.331,81.375,81.39,81.264,81.232,81.583,
Chile,CHL,79.746,80.079,80.35,80.133,80.326,79.377,78.944,79.519,
China,CHN,76.977,77.218,77.248,77.744,77.968,78.077,78.211,78.587,
Cote d'Ivoire,CIV,57.762,58.06,58.48,58.849,59.319,59.032,58.598,58.916,
Cameroon,CMR,59.658,60.233,60.81,61.18,61.584,60.833,60.333,60.958,
"Congo, Dem. Rep.",COD,58.49,59.066,59.411,59.942,60.276,59.739,59.193,59.743,
"Congo, Rep.",COG,63.233,63.577,63.76,64.053,62.747,63.785,63.519,63.053,
Colombia,COL,76.257,76.471,76.646,76.748,76.752,74.769,72.83,73.659,
Comoros,COM,62.896,63.237,63.625,63.912,64.068,64.166,63.417,63.68,
Cabo Verde,CPV,74.62,75.742,76.593,75.733,76.004,74.808,74.052,74.722,
Costa Rica,CRI,79.086,79.459,79.377,79.484,79.427,79.277,77.023,77.32,
Caribbean small states,CSS,71.8674733623341,72.2071551824674,72.4332461951409,72.694576053522,72.3592307062763,72.308759597255,70.4450018132098,70.9840247794591,
Cuba,CUB,77.772,77.643,77.529,77.496,77.611,77.567,73.683,78.155,
Curacao,CUW,78.0756097560976,77.719512195122,78.0170731707317,,,,,,
Cayman Islands,CYM,,,,,,,82.009756097561,,
Cyprus,CYP,80.966,81.056,81.328,81.382,81.397,81.391,81.203,81.889,
Czechia,CZE,78.5780487804878,79.0268292682927,78.9780487804878,79.0292682926829,79.2292682926829,78.1756097560976,77.2219512195122,79.0292682926829,
Germany,DEU,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,81.2926829268293,81.0414634146342,80.790243902439,80.7056097560976,
Djibouti,DJI,61.957,62.191,62.797,63.038,63.085,62.694,62.305,62.859,
Dominica,DMA,68.727,70.128,67.525,73.59,73.559,73.649,72.814,72.981,
Denmark,DNK,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854,81.4512195121951,81.6024390243903,81.4048780487805,81.3048780487805,
Dominican Republic,DOM,72.953,72.987,73.063,73.232,73.577,72.889,72.615,74.17,
Algeria,DZA,75.622,75.732,75.743,76.066,76.474,74.453,76.377,77.129,
East Asia & Pacific (excluding high income),EAP,75.1119119727131,75.3109651737337,75.3757926446065,75.7914160224627,75.992673092087,75.9260975082288,75.5328901017944,76.1676968092332,
Early-demographic dividend,EAR,69.8536662281089,70.1983596635622,70.5180253492573,70.768483000209,70.9856503544998,70.0017730020499,68.4344066377972,69.2787025969777,
East Asia & Pacific,EAS,75.9365967944783,76.1259565165813,76.2011424337729,76.5829004467556,76.7873101376072,76.7488995392737,76.3821728663599,76.8908803193648,
Europe & Central Asia (excluding high income),ECA,73.3347779121128,73.5463788771688,73.8912859142249,74.0864758474709,74.3132090293624,72.6548560330816,72.5756784791279,74.0288334456203,
Europe & Central Asia,ECS,77.2195960526704,77.5528746440128,77.7628908281095,77.8954378072222,78.1688006056568,76.9402938210574,76.6567585067198,77.8051871533767,
Ecuador,ECU,76.789,76.763,76.972,77.094,77.297,72.153,73.67,77.894,
"Egypt, Arab Rep.",EGY,70.483,70.844,71.302,71.367,71.358,70.99,70.221,70.159,
Euro area,EMU,81.5193422043975,81.9093542268696,81.8863805892422,82.0055745240526,82.283095808815,81.4949212153593,81.5950293897357,81.7018565021718,
Eritrea,ERI,66.033,66.289,66.577,67.067,67.3,67.133,66.536,66.604,
Spain,ESP,82.8317073170732,83.3292682926829,83.2829268292683,83.4317073170732,83.8317073170732,82.3317073170732,83.2292682926829,83.0829268292683,
Estonia,EST,77.590243902439,77.6414634146342,78.0926829268293,78.2439024390244,78.6463414634147,78.5951219512195,76.9439024390244,77.9439024390244,
Ethiopia,ETH,63.649,64.392,64.838,65.412,65.838,65.371,64.975,65.645,
European Union,EUU,80.5688525132732,80.9517504359263,80.9288274367457,81.0294256698864,81.315597211546,80.451933566125,80.3253644910688,80.8009860381263,
Fragile and conflict affected situations,FCS,60.9705211042924,61.249873616249,61.6159105183906,61.9275060577707,62.2300397029659,61.7330978653128,61.2320175374775,61.7932015299888,
Finland,FIN,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634,81.9829268292683,81.9317073170732,81.8853658536585,81.1878048780488,
Fiji,FJI,66.844,67.24,67.79,67.81,67.893,67.924,67.114,68.312,
